timestamp,tag_name,value
2026-06-01T00:00:00+00:00,INVERTER.MW,0.0457
2026-06-01T01:00:00+00:00,INVERTER.MW,0.0
2026-06-01T02:00:00+00:00,INVERTER.MW,0.1126
2026-06-01T03:00:00+00:00,INVERTER.MW,0.1411
2026-06-01T04:00:00+00:00,INVERTER.MW,0.0
2026-06-01T05:00:00+00:00,INVERTER.MW,0.0
2026-06-01T06:00:00+00:00,INVERTER.MW,2.2444
2026-06-01T07:00:00+00:00,INVERTER.MW,4.2914
2026-06-01T08:00:00+00:00,INVERTER.MW,6.2324
2026-06-01T09:00:00+00:00,INVERTER.MW,7.6904
2026-06-01T10:00:00+00:00,INVERTER.MW,9.1416
2026-06-01T11:00:00+00:00,INVERTER.MW,9.8659
2026-06-01T12:00:00+00:00,INVERTER.MW,10.0099
2026-06-01T13:00:00+00:00,INVERTER.MW,9.9184
2026-06-01T14:00:00+00:00,INVERTER.MW,9.0798
2026-06-01T15:00:00+00:00,INVERTER.MW,7.6894
2026-06-01T16:00:00+00:00,INVERTER.MW,6.2902
2026-06-01T17:00:00+00:00,INVERTER.MW,4.195
2026-06-01T18:00:00+00:00,INVERTER.MW,2.357
2026-06-01T19:00:00+00:00,INVERTER.MW,0.0
2026-06-01T20:00:00+00:00,INVERTER.MW,0.0
2026-06-01T21:00:00+00:00,INVERTER.MW,0.0
2026-06-01T22:00:00+00:00,INVERTER.MW,0.1834
2026-06-01T23:00:00+00:00,INVERTER.MW,0.0
2026-06-02T00:00:00+00:00,INVERTER.MW,0.0
2026-06-02T01:00:00+00:00,INVERTER.MW,0.0
2026-06-02T02:00:00+00:00,INVERTER.MW,0.0798
2026-06-02T03:00:00+00:00,INVERTER.MW,0.0548
2026-06-02T04:00:00+00:00,INVERTER.MW,0.0619
2026-06-02T05:00:00+00:00,INVERTER.MW,0.0646
2026-06-02T06:00:00+00:00,INVERTER.MW,2.5465
2026-06-02T07:00:00+00:00,INVERTER.MW,4.2779
2026-06-02T08:00:00+00:00,INVERTER.MW,6.1581
2026-06-02T09:00:00+00:00,INVERTER.MW,7.6962
2026-06-02T10:00:00+00:00,INVERTER.MW,9.1021
2026-06-02T11:00:00+00:00,INVERTER.MW,9.9186
2026-06-02T12:00:00+00:00,INVERTER.MW,9.9829
2026-06-02T13:00:00+00:00,INVERTER.MW,9.6233
2026-06-02T14:00:00+00:00,INVERTER.MW,8.886
2026-06-02T15:00:00+00:00,INVERTER.MW,7.9159
2026-06-02T16:00:00+00:00,INVERTER.MW,6.3464
2026-06-02T17:00:00+00:00,INVERTER.MW,4.4203
2026-06-02T18:00:00+00:00,INVERTER.MW,2.1254
2026-06-02T19:00:00+00:00,INVERTER.MW,0.0348
2026-06-02T20:00:00+00:00,INVERTER.MW,0.0175
2026-06-02T21:00:00+00:00,INVERTER.MW,0.0328
2026-06-02T22:00:00+00:00,INVERTER.MW,0.1307
2026-06-02T23:00:00+00:00,INVERTER.MW,0.0335
2026-06-03T00:00:00+00:00,INVERTER.MW,0.1018
2026-06-03T01:00:00+00:00,INVERTER.MW,0.0101
2026-06-03T02:00:00+00:00,INVERTER.MW,
2026-06-03T03:00:00+00:00,INVERTER.MW,
2026-06-03T04:00:00+00:00,INVERTER.MW,
2026-06-03T05:00:00+00:00,INVERTER.MW,
2026-06-03T06:00:00+00:00,INVERTER.MW,
2026-06-03T07:00:00+00:00,INVERTER.MW,4.243
2026-06-03T08:00:00+00:00,INVERTER.MW,6.1936
2026-06-03T09:00:00+00:00,INVERTER.MW,8.0426
2026-06-03T10:00:00+00:00,INVERTER.MW,8.8798
2026-06-03T11:00:00+00:00,INVERTER.MW,9.8945
2026-06-03T12:00:00+00:00,INVERTER.MW,9.7476
2026-06-03T13:00:00+00:00,INVERTER.MW,9.699
2026-06-03T14:00:00+00:00,INVERTER.MW,9.0341
2026-06-03T15:00:00+00:00,INVERTER.MW,7.9062
2026-06-03T16:00:00+00:00,INVERTER.MW,6.3416
2026-06-03T17:00:00+00:00,INVERTER.MW,4.4578
2026-06-03T18:00:00+00:00,INVERTER.MW,2.1729
2026-06-03T19:00:00+00:00,INVERTER.MW,0.0
2026-06-03T20:00:00+00:00,INVERTER.MW,0.1287
2026-06-03T21:00:00+00:00,INVERTER.MW,0.0
2026-06-03T22:00:00+00:00,INVERTER.MW,0.0
2026-06-03T23:00:00+00:00,INVERTER.MW,0.0
2026-06-04T00:00:00+00:00,INVERTER.MW,0.0
2026-06-04T01:00:00+00:00,INVERTER.MW,0.0746
2026-06-04T02:00:00+00:00,INVERTER.MW,0.0214
2026-06-04T03:00:00+00:00,INVERTER.MW,0.1036
2026-06-04T04:00:00+00:00,INVERTER.MW,0.0
2026-06-04T05:00:00+00:00,INVERTER.MW,0.0238
2026-06-04T06:00:00+00:00,INVERTER.MW,2.319
2026-06-04T07:00:00+00:00,INVERTER.MW,4.2924
2026-06-04T08:00:00+00:00,INVERTER.MW,6.3034
2026-06-04T09:00:00+00:00,INVERTER.MW,7.719
2026-06-04T10:00:00+00:00,INVERTER.MW,8.9552
2026-06-04T11:00:00+00:00,INVERTER.MW,9.692
2026-06-04T12:00:00+00:00,INVERTER.MW,9.8206
2026-06-04T13:00:00+00:00,INVERTER.MW,9.8223
2026-06-04T14:00:00+00:00,INVERTER.MW,8.9393
2026-06-04T15:00:00+00:00,INVERTER.MW,7.8202
2026-06-04T16:00:00+00:00,INVERTER.MW,6.307
2026-06-04T17:00:00+00:00,INVERTER.MW,4.4058
2026-06-04T18:00:00+00:00,INVERTER.MW,2.325
2026-06-04T19:00:00+00:00,INVERTER.MW,0.0
2026-06-04T20:00:00+00:00,INVERTER.MW,0.0
2026-06-04T21:00:00+00:00,INVERTER.MW,0.0
2026-06-04T22:00:00+00:00,INVERTER.MW,0.0
2026-06-04T23:00:00+00:00,INVERTER.MW,0.0
